"customer_id","children"
"S120509",1
"X711438",3
"K227200",4
"M482085",1
"Q386914",1
"Z534243",8
"X904034",5
"Z817431",2
"I981930",1
"D758871",4
"Y701439",2
"N573961",1
"W963695",1
"D331766",2
"Y608563",2
"F960418",1
"R346421",1
"L619270",1
"M552851",4
"W309935",4
"P181267",4
"Z550529",4
"Z135438",1
"P526389",1
"P354965",4
"M441485",3
"W252609",3
"K816219",2
"F83785",7
"U996984",4
"R657635",1
"T107748",3
"N765545",5
"J765743",5
"F630480",5
"B971638",1
"W102835",3
"J708845",2
"W799177",3
"W324283",1
"P129520",2
"G730827",1
"Z34186",3
"Q373527",4
"T604835",3
"I445425",5
"R714397",1
"C28344",3
"M726047",1
"J307274",4
"D953330",3
"J430418",5
"Z946217",8
"O261679",3
"E208605",1
"V522146",5
"N809088",4
"P587250",1
"V465323",2
"V992479",3
"Z888878",1
"K861096",3
"B266835",1
"G34233",3
"M07233",2
"Y930252",2
"V316726",3
"G48472",3
"P555585",3
"X637260",1
"Q615981",3
"G292619",2
"F801493",5
"U607425",6
"O575002",4
"O06174",1
"Q867792",2
"K776350",2
"P153763",3
"C93992",1
"M841756",1
"U243994",2
"M691219",3
"O864643",3
"V92166",3
"Z514880",10
"L612765",2
"F107388",1
"Z256378",3
"Z975588",1
"U859222",1
"G302426",3
"D821426",2
"R796813",1
"Y214211",2
"V385014",1
"Q79055",4
"G486098",3
"G419144",3
"S441269",10
"E279536",4
"E739674",2
"U794072",8
"W436782",4
"K888112",1
"V559269",1
"Q750226",1
"G137820",1
"O720597",3
"G265562",5
"J507623",3
"B19384",2
"X950770",1
"P361999",2
"Y670375",3
"U911080",3
"A771900",1
"V743976",1
"B450609",1
"Z583427",7
"G64810",3
"B428830",3
"H508349",3
"F638638",1
"X208149",1
"Q557106",3
"V91325",1
"Y260658",5
"D477172",3
"V438879",2
"Z327230",4
"N200102",3
"E674288",2
"N871548",1
"B369784",4
"A987044",7
"B601895",2
"M144568",1
"X696049",1
"M645601",4
"C432978",4
"L947354",3
"O877559",4
"X584915",10
"T11756",1
"B813452",3
"F28689",4
"X658080",3
"Y558408",1
"R896555",1
"T156561",3
